InvoiceNo,StockCode,Country,Local_Currency,CustomerID,InvoiceDate,UnitPrice,Total_Quantity_Sold,Month,DayOfWeek,Competitor_Price
540040,21731,Otro_LATAM,USD,12483,2011-01-04 14:20:00,1.65,48,1,1,1.7565315473294472
540043,21931,MEXICO,MXN,15164,2011-01-04 14:21:00,48.75,1,1,1,46.96814936248286
540043,22469,MEXICO,MXN,15164,2011-01-04 14:21:00,41.25,5,1,1,37.46307033351497
540043,84879,MEXICO,MXN,15164,2011-01-04 14:21:00,42.25,16,1,1,42.80020410308023
540043,85123A,MEXICO,MXN,15164,2011-01-04 14:21:00,73.75,4,1,1,81.76367473613489
540073,84879,MEXICO,MXN,16814,2011-01-04 14:47:00,42.25,32,1,1,40.43412113089558
540094,22469,MEXICO,MXN,14221,2011-01-04 15:33:00,41.25,12,1,1,39.524477713068364
540095,21181,MEXICO,MXN,14553,2011-01-04 15:40:00,52.5,6,1,1,51.43241684109122
540095,22197,MEXICO,MXN,14553,2011-01-04 15:40:00,21.25,4,1,1,21.446534593240347
540095,22423,MEXICO,MXN,14553,2011-01-04 15:40:00,318.75,2,1,1,323.7607586930625
540095,84946,MEXICO,MXN,14553,2011-01-04 15:40:00,31.25,6,1,1,31.19015151212913
540098,20727,MEXICO,MXN,16241,2011-01-04 15:50:00,41.25,1,1,1,41.70520877410305
540098,21181,MEXICO,MXN,16241,2011-01-04 15:50:00,52.5,1,1,1,51.36434390110632
540098,21212,MEXICO,MXN,16241,2011-01-04 15:50:00,13.750000000000002,1,1,1,13.972434634346804
540098,21213,MEXICO,MXN,16241,2011-01-04 15:50:00,13.750000000000002,1,1,1,14.217811699588733
540098,21977,MEXICO,MXN,16241,2011-01-04 15:50:00,13.750000000000002,1,1,1,15.213094768698337
540098,22382,MEXICO,MXN,16241,2011-01-04 15:50:00,41.25,1,1,1,39.66817513979966
540098,22383,MEXICO,MXN,16241,2011-01-04 15:50:00,41.25,1,1,1,47.11135866968069
540098,22384,MEXICO,MXN,16241,2011-01-04 15:50:00,41.25,1,1,1,38.1543113130536
540098,22469,MEXICO,MXN,16241,2011-01-04 15:50:00,41.25,2,1,1,44.48700149461469
540098,84991,MEXICO,MXN,16241,2011-01-04 15:50:00,13.750000000000002,1,1,1,12.952713045649464
540098,85123A,MEXICO,MXN,16241,2011-01-04 15:50:00,73.75,2,1,1,73.38854407030242
540099,20724,MEXICO,MXN,15808,2011-01-04 16:41:00,21.25,20,1,1,22.898233095163455
540099,20725,MEXICO,MXN,15808,2011-01-04 16:41:00,41.25,10,1,1,41.75081456694911
540099,22423,MEXICO,MXN,15808,2011-01-04 16:41:00,318.75,4,1,1,328.71602491416394
540099,85099B,MEXICO,MXN,15808,2011-01-04 16:41:00,48.75,13,1,1,48.05178497061121
540099,85099C,MEXICO,MXN,15808,2011-01-04 16:41:00,48.75,20,1,1,52.78209497395938
540114,84077,MEXICO,MXN,15498,2011-01-05 09:44:00,7.249999999999999,96,1,2,7.226852540794795
540120,84879,MEXICO,MXN,17675,2011-01-05 10:08:00,42.25,64,1,2,43.15986391522165
540120,85123A,MEXICO,MXN,17675,2011-01-05 10:08:00,63.74999999999999,32,1,2,57.859609164359256
540130,85123A,MEXICO,MXN,13798,2011-01-05 10:46:00,63.74999999999999,128,1,2,66.7580851218876
540146,84879,MEXICO,MXN,15002,2011-01-05 10:51:00,42.25,24,1,2,45.09501102863574
540146,85123A,MEXICO,MXN,15002,2011-01-05 10:51:00,73.75,12,1,2,74.38699637165122
540149,21213,MEXICO,MXN,12921,2011-01-05 11:00:00,13.750000000000002,24,1,2,14.166139073414397
540149,21931,MEXICO,MXN,12921,2011-01-05 11:00:00,48.75,10,1,2,49.550731979547656
540149,21977,MEXICO,MXN,12921,2011-01-05 11:00:00,13.750000000000002,24,1,2,12.880592507935647
540149,71459,MEXICO,MXN,12921,2011-01-05 11:00:00,21.25,24,1,2,19.864680750521632
540149,84946,MEXICO,MXN,12921,2011-01-05 11:00:00,31.25,12,1,2,30.248125982509247
540149,84991,MEXICO,MXN,12921,2011-01-05 11:00:00,13.750000000000002,24,1,2,12.457477029079806
540149,85099B,MEXICO,MXN,12921,2011-01-05 11:00:00,48.75,30,1,2,45.8610489015855
540149,85099C,MEXICO,MXN,12921,2011-01-05 11:00:00,48.75,10,1,2,55.341220464960344
540149,85099F,MEXICO,MXN,12921,2011-01-05 11:00:00,48.75,20,1,2,48.447221578968986
540153,47566,MEXICO,MXN,15841,2011-01-05 11:25:00,93.75,50,1,2,88.52745825064584
540153,85123A,MEXICO,MXN,15841,2011-01-05 11:25:00,63.74999999999999,32,1,2,69.29480550132061
540157,21731,MEXICO,MXN,15311,2011-01-05 11:41:00,41.25,4,1,2,37.874529532206864
540157,22384,MEXICO,MXN,15311,2011-01-05 11:41:00,41.25,1,1,2,40.66496126510438
540157,85099B,MEXICO,MXN,15311,2011-01-05 11:41:00,41.25,100,1,2,45.30596164765013
540161,85123A,MEXICO,MXN,16719,2011-01-05 11:52:00,73.75,7,1,2,77.6137663682224
540163,21498,MEXICO,MXN,13089,2011-01-05 11:52:00,10.5,25,1,2,10.23332380924559
540163,22178,MEXICO,MXN,13089,2011-01-05 11:52:00,31.25,36,1,2,33.04845313935434
540163,22469,MEXICO,MXN,13089,2011-01-05 11:52:00,36.25,40,1,2,34.965177484259726
540163,84946,MEXICO,MXN,13089,2011-01-05 11:52:00,31.25,12,1,2,29.861975290463988
540163,84978,MEXICO,MXN,13089,2011-01-05 11:52:00,26.5,36,1,2,26.132445416729656
540163,85123A,MEXICO,MXN,13089,2011-01-05 11:52:00,63.74999999999999,32,1,2,61.885989201443564
540166,85099C,MEXICO,MXN,13629,2011-01-05 12:09:00,41.25,100,1,2,41.650008024069706
540166,85099F,MEXICO,MXN,13629,2011-01-05 12:09:00,41.25,100,1,2,40.997142560576016
540168,22383,MEXICO,MXN,13715,2011-01-05 12:15:00,41.25,10,1,2,40.984046403896286
540168,22469,MEXICO,MXN,13715,2011-01-05 12:15:00,41.25,6,1,2,38.67030341691705
540168,84991,MEXICO,MXN,13715,2011-01-05 12:15:00,13.750000000000002,2,1,2,14.474025896625104
540168,85099B,MEXICO,MXN,13715,2011-01-05 12:15:00,48.75,6,1,2,48.89639885762542
540168,85099C,MEXICO,MXN,13715,2011-01-05 12:15:00,48.75,6,1,2,50.344319803094166
540168,85099F,MEXICO,MXN,13715,2011-01-05 12:15:00,48.75,6,1,2,47.98496662491982
540172,22469,MEXICO,MXN,18109,2011-01-05 12:29:00,41.25,9,1,2,41.022037629271786
540172,85123A,MEXICO,MXN,18109,2011-01-05 12:29:00,73.75,1,1,2,77.6279212749688
540173,22469,MEXICO,MXN,15661,2011-01-05 12:32:00,36.25,80,1,2,38.441673475185546
540176,20725,MEXICO,MXN,17511,2011-01-05 12:40:00,36.25,100,1,2,37.432510075357754
540176,21931,MEXICO,MXN,17511,2011-01-05 12:40:00,41.25,100,1,2,42.74609639813559
540176,22382,MEXICO,MXN,17511,2011-01-05 12:40:00,36.25,100,1,2,37.10427241757892
540176,22386,MEXICO,MXN,17511,2011-01-05 12:40:00,41.25,100,1,2,38.929221033205046
540176,85099B,MEXICO,MXN,17511,2011-01-05 12:40:00,41.25,100,1,2,42.96358144927591
540176,85099F,MEXICO,MXN,17511,2011-01-05 12:40:00,41.25,100,1,2,42.21274059247788
540178,21212,CHILE,CLP,12681,2011-01-05 12:42:00,550.0,24,1,2,493.05828512001466
540178,22961,CHILE,CLP,12681,2011-01-05 12:42:00,1450.0,12,1,2,1546.6118977908186
540179,22469,MEXICO,MXN,16033,2011-01-05 12:54:00,41.25,4,1,2,42.406015258014435
540180,84978,MEXICO,MXN,15984,2011-01-05 13:05:00,31.25,6,1,2,29.288303045469725
540180,85123A,MEXICO,MXN,15984,2011-01-05 13:05:00,73.75,8,1,2,74.13529579338059
540182,21790,MEXICO,MXN,14739,2011-01-05 13:29:00,18.0,72,1,2,17.70277018228469
540183,22423,MEXICO,MXN,15093,2011-01-05 13:37:00,273.75,16,1,2,278.6696779714883
540183,84879,MEXICO,MXN,15093,2011-01-05 13:37:00,42.25,96,1,2,39.68413134444771
540185,22469,MEXICO,MXN,14653,2011-01-05 13:40:00,41.25,10,1,2,41.661816398085385
540185,85123A,MEXICO,MXN,14653,2011-01-05 13:40:00,73.75,8,1,2,76.60595028736228
540187,21977,MEXICO,MXN,15358,2011-01-05 13:53:00,13.750000000000002,24,1,2,12.845089357802882
540187,22423,MEXICO,MXN,15358,2011-01-05 13:53:00,318.75,1,1,2,328.0210175668699
540187,22961,MEXICO,MXN,15358,2011-01-05 13:53:00,36.25,12,1,2,34.749247003895526
540188,85123A,MEXICO,MXN,16771,2011-01-05 13:57:00,73.75,3,1,2,76.6482431326332
540239,21977,CHILE,CLP,12682,2011-01-05 14:48:00,550.0,24,1,2,560.4519669647298
540239,22423,CHILE,CLP,12682,2011-01-05 14:48:00,12750.0,3,1,2,12861.796300546672
540239,22961,CHILE,CLP,12682,2011-01-05 14:48:00,1450.0,12,1,2,1506.0098963394173
540242,21181,MEXICO,MXN,15046,2011-01-05 15:30:00,52.5,3,1,2,49.273426553984926
540242,22178,MEXICO,MXN,15046,2011-01-05 15:30:00,31.25,6,1,2,31.57911742964882
540242,84879,MEXICO,MXN,15046,2011-01-05 15:30:00,42.25,40,1,2,40.17979176836768
540242,85123A,MEXICO,MXN,15046,2011-01-05 15:30:00,63.74999999999999,32,1,2,65.11253370805152
540247,20728,MEXICO,MXN,15464,2011-01-05 15:56:00,41.25,2,1,2,42.084318255947714
540247,22197,MEXICO,MXN,15464,2011-01-05 15:56:00,21.25,3,1,2,21.054469906697317
540247,22382,MEXICO,MXN,15464,2011-01-05 15:56:00,41.25,3,1,2,42.319627804654765
540247,22383,MEXICO,MXN,15464,2011-01-05 15:56:00,41.25,1,1,2,41.709579293294425
540247,22469,MEXICO,MXN,15464,2011-01-05 15:56:00,41.25,2,1,2,40.547143048524234
540247,22629,MEXICO,MXN,15464,2011-01-05 15:56:00,48.75,2,1,2,48.910441684103766
540247,22961,MEXICO,MXN,15464,2011-01-05 15:56:00,36.25,1,1,2,34.78456361348087
540247,84879,MEXICO,MXN,15464,2011-01-05 15:56:00,42.25,8,1,2,41.45001847721882
540247,85123A,MEXICO,MXN,15464,2011-01-05 15:56:00,73.75,3,1,2,74.43766168501479
540249,21498,MEXICO,MXN,15298,2011-01-05 16:00:00,10.5,25,1,2,10.090193235592933
540249,21731,MEXICO,MXN,15298,2011-01-05 16:00:00,41.25,12,1,2,43.07599989715901
540253,21181,MEXICO,MXN,13225,2011-01-05 16:28:00,46.25,48,1,2,44.28502519367535
540253,22386,MEXICO,MXN,13225,2011-01-05 16:28:00,41.25,100,1,2,43.34702126896313
540257,85123A,MEXICO,MXN,12748,2011-01-05 17:33:00,73.75,6,1,2,72.81915451275034
540259,22961,MEXICO,MXN,18226,2011-01-06 09:00:00,36.25,12,1,3,34.2613388419702
540259,85123A,MEXICO,MXN,18226,2011-01-06 09:00:00,73.75,12,1,3,76.14597674808617
540260,22423,MEXICO,MXN,13097,2011-01-06 09:40:00,318.75,3,1,3,332.24479105958073
540261,22178,MEXICO,MXN,13089,2011-01-06 09:57:00,26.5,96,1,3,27.065309399670497
540261,22469,MEXICO,MXN,13089,2011-01-06 09:57:00,36.25,48,1,3,38.337782248185334
540261,84946,MEXICO,MXN,13089,2011-01-06 09:57:00,31.25,48,1,3,32.56960729230376
540268,20725,MEXICO,MXN,13458,2011-01-06 11:25:00,41.25,10,1,3,40.266881682759596
540268,20728,MEXICO,MXN,13458,2011-01-06 11:25:00,41.25,10,1,3,44.65523597960629
540268,22178,MEXICO,MXN,13458,2011-01-06 11:25:00,31.25,36,1,3,29.846933390200924
540268,22197,MEXICO,MXN,13458,2011-01-06 11:25:00,21.25,60,1,3,19.89441321803166
540268,22384,MEXICO,MXN,13458,2011-01-06 11:25:00,41.25,10,1,3,38.20149263686163
540268,22629,MEXICO,MXN,13458,2011-01-06 11:25:00,48.75,12,1,3,52.31844974307136
540268,84879,MEXICO,MXN,13458,2011-01-06 11:25:00,42.25,48,1,3,41.146391713626116
540268,84946,MEXICO,MXN,13458,2011-01-06 11:25:00,31.25,12,1,3,30.258886316218387
540268,85099B,MEXICO,MXN,13458,2011-01-06 11:25:00,48.75,10,1,3,42.67621445643464
540268,85123A,MEXICO,MXN,13458,2011-01-06 11:25:00,63.74999999999999,32,1,3,64.7245508396293
540275,20725,MEXICO,MXN,13680,2011-01-06 12:11:00,36.25,100,1,3,35.694949169230675
540275,20727,MEXICO,MXN,13680,2011-01-06 12:11:00,41.25,30,1,3,41.70106213395895
540275,20728,MEXICO,MXN,13680,2011-01-06 12:11:00,41.25,30,1,3,44.528840005986964
540275,22197,MEXICO,MXN,13680,2011-01-06 12:11:00,21.25,10,1,3,19.88937669505603
540275,22386,MEXICO,MXN,13680,2011-01-06 12:11:00,48.75,20,1,3,48.56784347608344
540275,84991,MEXICO,MXN,13680,2011-01-06 12:11:00,13.750000000000002,24,1,3,13.03501269588862
540275,85099B,MEXICO,MXN,13680,2011-01-06 12:11:00,41.25,100,1,3,41.70036116315728
540275,85099C,MEXICO,MXN,13680,2011-01-06 12:11:00,48.75,30,1,3,52.350341544817915
540276,20725,MEXICO,MXN,14680,2011-01-06 12:16:00,36.25,100,1,3,40.193793119412305
540276,20727,MEXICO,MXN,14680,2011-01-06 12:16:00,41.25,30,1,3,37.51917301491577
540276,20728,MEXICO,MXN,14680,2011-01-06 12:16:00,41.25,30,1,3,38.95129656120589
540276,22197,MEXICO,MXN,14680,2011-01-06 12:16:00,21.25,10,1,3,21.679264717499166
540276,22386,MEXICO,MXN,14680,2011-01-06 12:16:00,48.75,20,1,3,48.73873731859372
540276,84991,MEXICO,MXN,14680,2011-01-06 12:16:00,13.750000000000002,24,1,3,13.4007465793152
540276,85099B,MEXICO,MXN,14680,2011-01-06 12:16:00,41.25,100,1,3,40.96173099763499
540276,85099C,MEXICO,MXN,14680,2011-01-06 12:16:00,48.75,30,1,3,51.35751878490454
540277,20725,MEXICO,MXN,14258,2011-01-06 12:18:00,41.25,30,1,3,37.36328845029268
540277,21080,MEXICO,MXN,14258,2011-01-06 12:18:00,16.0,96,1,3,16.4405862309535
540277,85099B,MEXICO,MXN,14258,2011-01-06 12:18:00,41.25,100,1,3,39.205074464540786
540277,85099C,MEXICO,MXN,14258,2011-01-06 12:18:00,41.25,100,1,3,38.98771266820935
540277,85099F,MEXICO,MXN,14258,2011-01-06 12:18:00,41.25,100,1,3,37.63661873619111
540277,85123A,MEXICO,MXN,14258,2011-01-06 12:18:00,63.74999999999999,32,1,3,65.68826638659431
540278,20725,MEXICO,MXN,15719,2011-01-06 12:31:00,41.25,3,1,3,42.46714312410517
540278,20727,MEXICO,MXN,15719,2011-01-06 12:31:00,41.25,2,1,3,42.07598754199203
540278,20728,MEXICO,MXN,15719,2011-01-06 12:31:00,41.25,1,1,3,42.35450136822527
540278,21080,MEXICO,MXN,15719,2011-01-06 12:31:00,21.25,3,1,3,22.7403871959293
540278,21212,MEXICO,MXN,15719,2011-01-06 12:31:00,13.750000000000002,4,1,3,14.634722067282652
540278,21931,MEXICO,MXN,15719,2011-01-06 12:31:00,48.75,1,1,3,46.923395541132884
540278,22178,MEXICO,MXN,15719,2011-01-06 12:31:00,31.25,6,1,3,33.02861220406762
540278,22382,MEXICO,MXN,15719,2011-01-06 12:31:00,41.25,2,1,3,44.45076086654916
540278,22384,MEXICO,MXN,15719,2011-01-06 12:31:00,41.25,1,1,3,41.44804911841533
540278,22386,MEXICO,MXN,15719,2011-01-06 12:31:00,48.75,4,1,3,43.950028825459455
540278,22629,MEXICO,MXN,15719,2011-01-06 12:31:00,48.75,1,1,3,49.14833269121091
540278,84879,MEXICO,MXN,15719,2011-01-06 12:31:00,42.25,8,1,3,41.83890462989433
540278,84991,MEXICO,MXN,15719,2011-01-06 12:31:00,13.750000000000002,4,1,3,14.052072414255266
540278,85099B,MEXICO,MXN,15719,2011-01-06 12:31:00,48.75,13,1,3,48.79605599867478
540278,85099C,MEXICO,MXN,15719,2011-01-06 12:31:00,48.75,1,1,3,50.2001102827606
540278,85099F,MEXICO,MXN,15719,2011-01-06 12:31:00,48.75,3,1,3,52.62291237506382
540278,85123A,MEXICO,MXN,15719,2011-01-06 12:31:00,73.75,2,1,3,75.22890912140733
540288,21181,MEXICO,MXN,17634,2011-01-06 12:45:00,52.5,2,1,3,48.04730224819003
540288,22423,MEXICO,MXN,17634,2011-01-06 12:45:00,318.75,1,1,3,320.8685415124595
540288,85123A,MEXICO,MXN,17634,2011-01-06 12:45:00,73.75,2,1,3,73.26725768619636
540316,22423,MEXICO,MXN,16676,2011-01-06 13:00:00,318.75,1,1,3,313.5542035094067
540345,21790,MEXICO,MXN,14299,2011-01-06 13:19:00,21.25,12,1,3,20.567261662496307
540345,22423,MEXICO,MXN,14299,2011-01-06 13:19:00,273.75,32,1,3,275.5550058429941
540348,47566,MEXICO,MXN,12841,2011-01-06 13:56:00,116.25000000000001,3,1,3,125.15622299117672
540349,21212,MEXICO,MXN,15379,2011-01-06 14:07:00,13.750000000000002,24,1,3,13.321798175110738
540349,21931,MEXICO,MXN,15379,2011-01-06 14:07:00,48.75,10,1,3,50.973686048441614
540349,21977,MEXICO,MXN,15379,2011-01-06 14:07:00,13.750000000000002,24,1,3,12.786932673194766
540349,22383,MEXICO,MXN,15379,2011-01-06 14:07:00,41.25,10,1,3,43.06072689004041
540349,22423,MEXICO,MXN,15379,2011-01-06 14:07:00,318.75,2,1,3,318.78119885445216
540349,84879,MEXICO,MXN,15379,2011-01-06 14:07:00,42.25,8,1,3,39.677525694982194
540349,85099B,MEXICO,MXN,15379,2011-01-06 14:07:00,48.75,10,1,3,50.04731276479979
540349,85123A,MEXICO,MXN,15379,2011-01-06 14:07:00,73.75,12,1,3,61.83570413238881
540350,20724,MEXICO,MXN,18283,2011-01-06 14:14:00,21.25,1,1,3,21.384884284071873
540350,20727,MEXICO,MXN,18283,2011-01-06 14:14:00,41.25,1,1,3,44.07780511304982
540350,21181,MEXICO,MXN,18283,2011-01-06 14:14:00,52.5,1,1,3,54.78471521213343
540350,21212,MEXICO,MXN,18283,2011-01-06 14:14:00,13.750000000000002,1,1,3,12.85314254823823
540350,21213,MEXICO,MXN,18283,2011-01-06 14:14:00,13.750000000000002,1,1,3,13.978009501269854
540350,21931,MEXICO,MXN,18283,2011-01-06 14:14:00,48.75,2,1,3,49.52642672132088
540350,22383,MEXICO,MXN,18283,2011-01-06 14:14:00,41.25,1,1,3,40.93329506600136
540350,22384,MEXICO,MXN,18283,2011-01-06 14:14:00,41.25,1,1,3,43.32633485098773
540350,22386,MEXICO,MXN,18283,2011-01-06 14:14:00,48.75,1,1,3,46.50585001020112
540350,85099B,MEXICO,MXN,18283,2011-01-06 14:14:00,48.75,2,1,3,45.90194217363683
540350,85099F,MEXICO,MXN,18283,2011-01-06 14:14:00,48.75,1,1,3,45.045459598472135
540351,20725,CHILE,CLP,12735,2011-01-06 14:26:00,1650.0,10,1,3,1838.4956426444676
540351,21212,CHILE,CLP,12735,2011-01-06 14:26:00,550.0,24,1,3,517.2160053400586
540353,20727,MEXICO,MXN,13764,2011-01-06 14:53:00,41.25,1,1,3,43.01244532637349
540353,20728,MEXICO,MXN,13764,2011-01-06 14:53:00,41.25,2,1,3,41.06484553195528
540353,21931,MEXICO,MXN,13764,2011-01-06 14:53:00,48.75,2,1,3,46.650359857315266
540353,22197,MEXICO,MXN,13764,2011-01-06 14:53:00,21.25,6,1,3,20.79866670776246
540353,22383,MEXICO,MXN,13764,2011-01-06 14:53:00,41.25,2,1,3,40.9691068673522
540353,22384,MEXICO,MXN,13764,2011-01-06 14:53:00,41.25,5,1,3,38.60120456053573
540353,22411,MEXICO,MXN,13764,2011-01-06 14:53:00,48.75,6,1,3,48.64010920831201
540353,22961,MEXICO,MXN,13764,2011-01-06 14:53:00,36.25,3,1,3,38.32914550750614
540353,85099B,MEXICO,MXN,13764,2011-01-06 14:53:00,48.75,3,1,3,45.32831266106703
540353,85099C,MEXICO,MXN,13764,2011-01-06 14:53:00,48.75,4,1,3,49.01316777618498
540357,20725,MEXICO,MXN,13093,2011-01-06 15:14:00,41.25,20,1,3,44.43988281292613
540357,20728,MEXICO,MXN,13093,2011-01-06 15:14:00,41.25,20,1,3,38.58690396283244
540357,22197,MEXICO,MXN,13093,2011-01-06 15:14:00,21.25,24,1,3,22.724222684575487
540357,22382,MEXICO,MXN,13093,2011-01-06 15:14:00,41.25,20,1,3,39.15844282873272
540357,22383,MEXICO,MXN,13093,2011-01-06 15:14:00,41.25,20,1,3,38.83365852489226
540357,22629,MEXICO,MXN,13093,2011-01-06 15:14:00,48.75,12,1,3,46.4396104357423
540358,22469,MEXICO,MXN,13599,2011-01-06 15:25:00,41.25,12,1,3,43.094171503074485
540359,20727,MEXICO,MXN,18041,2011-01-06 15:29:00,41.25,20,1,3,42.871700067223394
540359,21080,MEXICO,MXN,18041,2011-01-06 15:29:00,21.25,16,1,3,21.418159895328827
540359,85099B,MEXICO,MXN,18041,2011-01-06 15:29:00,48.75,6,1,3,50.9082318198476
540361,84755,MEXICO,MXN,13408,2011-01-06 15:41:00,13.750000000000002,144,1,3,12.2442694876285
540361,85123A,MEXICO,MXN,13408,2011-01-06 15:41:00,63.74999999999999,32,1,3,66.59813112263166
540362,20724,MEXICO,MXN,13656,2011-01-06 15:42:00,21.25,10,1,3,20.515807828908237
540362,22629,MEXICO,MXN,13656,2011-01-06 15:42:00,48.75,2,1,3,49.06417995649715
540364,22423,MEXICO,MXN,14505,2011-01-06 16:03:00,318.75,1,1,3,319.0414247872639
540364,85123A,MEXICO,MXN,14505,2011-01-06 16:03:00,73.75,3,1,3,76.21521602175704
540365,20724,CHILE,CLP,12413,2011-01-06 16:12:00,850.0,10,1,3,893.1210137686329
540365,21080,CHILE,CLP,12413,2011-01-06 16:12:00,850.0,12,1,3,899.3565675999835
540365,85099B,CHILE,CLP,12413,2011-01-06 16:12:00,1950.0,10,1,3,2147.4927878914773
540371,22178,MEXICO,MXN,14312,2011-01-06 16:35:00,31.25,12,1,3,32.56055836074902
540371,85123A,MEXICO,MXN,14312,2011-01-06 16:35:00,73.75,12,1,3,83.53623008719713
540372,20725,MEXICO,MXN,13081,2011-01-06 16:41:00,41.25,10,1,3,42.11257438226023
540372,20727,MEXICO,MXN,13081,2011-01-06 16:41:00,41.25,10,1,3,39.28104436553683
540372,20728,MEXICO,MXN,13081,2011-01-06 16:41:00,41.25,20,1,3,40.301461629026804
540372,21080,MEXICO,MXN,13081,2011-01-06 16:41:00,21.25,48,1,3,19.97006839626001
540372,21212,MEXICO,MXN,13081,2011-01-06 16:41:00,13.750000000000002,24,1,3,13.27020553814035
540372,21213,MEXICO,MXN,13081,2011-01-06 16:41:00,13.750000000000002,48,1,3,12.690589249685834
540372,21498,MEXICO,MXN,13081,2011-01-06 16:41:00,10.5,25,1,3,10.045668256149963
